symbol,start_date,end_date,enter_current_period,exit_current_period,enter_price,enter_price_open,exit_price,exit_price_open,pos_type,leverage,num_shares,PnL,PnL_percent
TGT,20030317,20030519,19,16,29.4,29.8,33.2,33.3,long,1,3365,11777.5,11.745
TGT,20030320,20030519,16,16,29.93,30.1,33.2,33.3,long,1,3309,10588.8,10.631
TGT,20030321,20030519,16,16,30.73,29.78,33.2,33.3,long,1,3132,11024.64,11.82
TGT,20030404,20030519,15,16,30.94,31.65,33.2,33.3,long,1,3295,5436.75,5.213
TGT,20030407,20030519,15,16,31.78,31.78,33.2,33.3,long,1,3084,4687.68,4.783
TGT,20030421,20030519,18,16,32.46,32.46,33.2,33.3,long,1,2900,2436.0,2.588
TGT,20030422,20030519,18,16,33.01,33.01,33.2,33.3,long,1,2806,813.74,0.879
TGT,20030506,20030519,16,16,34.33,34.33,33.2,33.3,long,1,2791,-2874.73,-3.0
TGT,20030508,20030519,15,16,34.78,34.78,33.2,33.3,long,1,2782,-4117.36,-4.255
TGT,20030509,20030519,16,16,35.27,35.15,33.2,33.3,long,1,2763,-5111.55,-5.263
TGT,20030512,20030519,16,16,36.13,34.32,33.2,33.3,long,1,2608,-2660.16,-2.972
TGT,20030602,20030909,15,15,37.16,37.17,38.0,39.03,long,1,2515,4677.9,5.004
TGT,20030707,20030909,15,15,38.64,38.55,38.0,39.03,long,1,2855,1370.4,1.245
TGT,20030708,20030909,15,15,39.82,39.5,38.0,39.03,long,1,2675,-1257.25,-1.19
TGT,20030812,20030909,15,15,40.0,40.0,38.0,39.03,long,1,2648,-2568.56,-2.425
TGT,20030829,20030909,15,15,40.6,40.8,38.0,39.03,long,1,2681,-4745.37,-4.338
TGT,20030902,20030909,15,15,41.51,41.75,38.0,39.03,long,1,2588,-7039.36,-6.515
TGT,20030903,20030909,15,15,41.54,41.0,38.0,39.03,long,1,2614,-5149.58,-4.805
TGT,20031009,20031022,18,19,40.4,40.29,39.11,39.11,long,1,2560,-3020.8,-2.929
TGT,20031204,20031215,21,25,40.15,39.98,37.12,37.12,long,1,3064,-8763.04,-7.154
TGT,20040210,20040414,33,35,41.3,41.25,42.86,43.05,long,1,2691,4843.8,4.364
TGT,20040211,20040414,32,35,41.65,41.25,42.86,43.05,long,1,2640,4752.0,4.364
TGT,20040218,20040414,31,35,42.29,42.9,42.86,43.05,long,1,2657,398.55,0.35
TGT,20040227,20040414,34,35,43.96,44.16,42.86,43.05,long,1,2332,-2588.52,-2.514
TGT,20040311,20040414,35,35,44.7,44.8,42.86,43.05,long,1,2049,-3585.75,-3.906
TGT,20040312,20040414,35,35,45.63,45.51,42.86,43.05,long,1,1971,-4848.66,-5.405
TGT,20040602,20040625,31,27,45.38,45.0,44.45,44.45,long,1,2327,-1279.85,-1.222
TGT,20040608,20040625,28,27,46.2,45.95,44.45,44.45,long,1,2265,-3397.5,-3.264
TGT,20040827,20041217,27,30,44.94,44.9,50.53,50.92,long,1,2450,14749.0,13.408
TGT,20040902,20041217,28,30,45.73,45.77,50.53,50.92,long,1,2543,13096.45,11.252
TGT,20040903,20041217,28,30,45.93,46.0,50.53,50.92,long,1,2510,12349.2,10.696
TGT,20041007,20041217,29,30,47.13,47.14,50.53,50.92,long,1,2471,9340.38,8.019
TGT,20041019,20041217,29,30,48.46,48.45,50.53,50.92,long,1,2122,5241.34,5.098
TGT,20041027,20041217,26,30,49.45,49.37,50.53,50.92,long,1,2093,3244.15,3.14
TGT,20041028,20041217,26,30,50.0,50.0,50.53,50.92,long,1,2080,1913.6,1.84
TGT,20041029,20041217,26,30,50.02,50.02,50.53,50.92,long,1,2117,1905.3,1.799
TGT,20041101,20041217,27,30,50.47,50.5,50.53,50.92,long,1,2076,871.92,0.832
TGT,20041105,20041217,28,30,51.83,51.65,50.53,50.92,long,1,1844,-1346.12,-1.413
TGT,20041115,20041217,28,30,52.43,51.35,50.53,50.92,long,1,1850,-795.5,-0.837
TGT,20050303,20050316,16,18,52.5,52.85,51.43,51.47,long,1,1943,-2681.34,-2.611
TGT,20050518,20050804,33,24,52.02,52.35,56.09,55.63,long,1,1742,5713.76,6.266
TGT,20050519,20050804,32,24,52.67,52.4,56.09,55.63,long,1,1733,5597.59,6.164
TGT,20050524,20050804,30,24,52.85,52.65,56.09,55.63,long,1,1776,5292.48,5.66
TGT,20050526,20050804,28,24,53.33,53.3,56.09,55.63,long,1,1776,4138.08,4.371
TGT,20050601,20050804,25,24,53.83,54.0,56.09,55.63,long,1,1872,3051.36,3.019
TGT,20050602,20050804,24,24,54.65,54.5,56.09,55.63,long,1,1821,2057.73,2.073
TGT,20050622,20050804,23,24,55.93,55.91,56.09,55.63,long,1,1763,-493.64,-0.501
TGT,20050707,20050804,23,24,56.42,56.63,56.09,55.63,long,1,1690,-1690.0,-1.766
TGT,20050708,20050804,23,24,56.93,57.48,56.09,55.63,long,1,1663,-3076.55,-3.219
TGT,20050712,20050804,23,24,58.26,58.25,56.09,55.63,long,1,1605,-4205.1,-4.498
TGT,20050718,20050804,23,24,59.0,59.5,56.09,55.63,long,1,1648,-6377.76,-6.504
TGT,20050719,20050804,24,24,59.56,59.46,56.09,55.63,long,1,1638,-6273.54,-6.441
TGT,20050720,20050804,24,24,59.98,59.75,56.09,55.63,long,1,1587,-6538.44,-6.895
TGT,20051019,20051027,16,15,56.0,56.0,52.5,52.9,long,1,1466,-4544.6,-5.536
TGT,20051110,20051115,18,21,58.85,58.52,54.3,54.2,long,1,1289,-5568.48,-7.382
TGT,20051222,20060120,15,15,54.95,54.99,53.58,53.53,long,1,1790,-2613.4,-2.655
TGT,20051223,20060120,15,15,55.51,55.95,53.58,53.53,long,1,1772,-4288.24,-4.325
TGT,20060202,20060221,15,15,55.23,54.71,53.66,53.92,long,1,1922,-1518.38,-1.444
TGT,20060214,20060221,15,15,55.43,55.1,53.66,53.92,long,1,1995,-2354.1,-2.142
TGT,20060215,20060221,15,15,55.8,54.9,53.66,53.92,long,1,1945,-1906.1,-1.785
TGT,20060426,20060512,17,17,53.35,54.22,52.21,49.14,long,1,2265,-11506.2,-9.369
TGT,20060427,20060512,17,17,53.46,53.46,52.21,49.14,long,1,2164,-9348.48,-8.081
TGT,20060505,20060512,17,17,54.54,55.0,52.21,49.14,long,1,1995,-11690.7,-10.655
