symbol,start_date,end_date,enter_current_period,exit_current_period,enter_price,enter_price_open,exit_price,exit_price_open,pos_type,leverage,num_shares,PnL,PnL_percent
COKE,20030606,20030806,36,38,54.47,54.17,51.38,51.4,long,1,1690,-4681.3,-5.114
COKE,20030609,20030806,36,38,55.43,55.4,51.38,51.4,long,1,1582,-6328.0,-7.22
COKE,20030610,20030806,37,38,56.26,55.76,51.38,51.4,long,1,1563,-6814.68,-7.819
COKE,20030611,20030806,38,38,57.89,57.9,51.38,51.4,long,1,1440,-9360.0,-11.226
COKE,20030612,20030806,39,38,61.34,60.0,51.38,51.4,long,1,1177,-10122.2,-14.333
COKE,20030613,20030806,39,38,65.0,65.64,51.38,51.4,long,1,918,-13072.32,-21.694
COKE,20031111,20040128,36,42,52.73,52.9,51.67,51.51,long,1,1814,-2521.46,-2.628
COKE,20031112,20040128,37,42,53.531,54.0,51.67,51.51,long,1,1758,-4377.42,-4.611
COKE,20031119,20040128,38,42,54.67,53.501,51.67,51.51,long,1,1562,-3109.942,-3.721
COKE,20040405,20040517,40,43,52.65,52.62,52.14,52.26,long,1,2764,-995.04,-0.684
COKE,20040406,20040517,39,43,53.15,53.28,52.14,52.26,long,1,2693,-2746.86,-1.914
COKE,20040407,20040517,39,43,53.31,53.59,52.14,52.26,long,1,2662,-3540.46,-2.482
COKE,20040408,20040517,40,43,54.16,53.99,52.14,52.26,long,1,2496,-4318.08,-3.204
COKE,20040504,20040517,41,43,55.0,55.7,52.14,52.26,long,1,1746,-6006.24,-6.176
COKE,20040505,20040517,41,43,55.95,55.5,52.14,52.26,long,1,1701,-5511.24,-5.838
COKE,20040604,20040720,42,41,57.2,57.5,56.05,55.48,long,1,1662,-3357.24,-3.513
COKE,20040610,20040720,42,41,58.02,58.45,56.05,55.48,long,1,1706,-5066.82,-5.081
COKE,20040622,20040720,43,41,58.77,58.09,56.05,55.48,long,1,1404,-3664.44,-4.493
COKE,20041214,20050224,45,47,54.87,54.101,53.02,52.32,long,1,1581,-2815.761,-3.292
COKE,20041215,20050224,45,47,55.0,53.55,53.02,52.32,long,1,1580,-1943.4,-2.297
COKE,20041222,20050224,46,47,55.41,54.9,53.02,52.32,long,1,1534,-3957.72,-4.699
COKE,20041227,20050224,47,47,55.57,55.71,53.02,52.32,long,1,1532,-5193.48,-6.085
COKE,20041228,20050224,47,47,55.95,56.23,53.02,52.32,long,1,1553,-6072.23,-6.954
COKE,20041229,20050224,47,47,56.9,56.94,53.02,52.32,long,1,1519,-7017.78,-8.114
COKE,20041230,20050224,46,47,57.3,57.255,53.02,52.32,long,1,1483,-7318.605,-8.619
COKE,20050711,20050812,49,46,52.99,52.59,48.56,48.56,long,1,1848,-7447.44,-7.663
