Symbol,Date,Price,Total Value,Account Total Equity,Account Total Dollar,Num Units Traded,Reward,Period,Exit Period,Exploration Rate
M,20070718,43.09,10000000.0,0.0,10000000.0,0,0.0,23,11,0.911
M,20070719,42.4,9998746.27,77040.8,9921705.47,0,0.3,24,12,0.908
M,20070720,41.92,9997874.11,76168.64,9921705.47,0,0.263,23,11,0.906
M,20070723,41.86,9997765.09,76059.62,9921705.47,0,0.6,22,11,0.903
M,20070724,40.84,9995911.75,74206.28,9921705.47,0,0.525,23,11,0.9
M,20070725,40.15,9994658.02,72952.55,9921705.47,0,0.638,23,11,0.897
M,20070726,38.04,9990824.15,69118.68,9921705.47,0,0.0,24,12,0.895
M,20070727,36.9,9990751.47,0.0,9990751.47,1,0.562,24,12,0.892
M,20070730,36.59,9990751.47,0.0,9990751.47,1,0.675,24,12,0.889
M,20070731,36.07,9990751.47,0.0,9990751.47,1,0.713,25,12,0.887
M,20070801,35.6,9990751.47,0.0,9990751.47,1,0.637,26,13,0.884
M,20070802,35.96,9990751.47,0.0,9990751.47,1,0.375,26,13,0.881
M,20070803,33.7,9990751.47,0.0,9990751.47,1,0.713,25,12,0.879
M,20070806,34.89,9990751.47,0.0,9990751.47,1,0.75,26,13,0.876
M,20070807,34.6,9990751.47,0.0,9990751.47,1,0.787,27,13,0.874
M,20070808,35.54,9990751.47,0.0,9990751.47,1,0.825,28,14,0.871
M,20070809,33.56,9990751.47,0.0,9990751.47,1,0.862,29,14,0.868
M,20070810,33.63,9990751.47,0.0,9990751.47,1,0.6,30,15,0.866
M,20070813,33.36,9990751.47,0.0,9990751.47,1,0.825,31,15,0.863
M,20070814,31.73,9990751.47,0.0,9990751.47,1,0.562,31,15,0.861
M,20070815,31.1,9990751.47,0.0,9990751.47,1,0.525,30,15,0.858
M,20070816,30.33,9990751.47,0.0,9990751.47,1,0.0,29,14,0.855
M,20070817,30.91,9990751.47,0.0,9990751.47,1,0.45,28,14,0.853
M,20070820,30.74,9990751.47,0.0,9990751.47,1,0.787,27,13,0.85
M,20070821,30.63,9990751.47,0.0,9990751.47,1,0.45,28,14,0.848
M,20070822,31.13,9990751.47,0.0,9990751.47,1,0.675,27,13,0.845
M,20070823,31.13,9990751.47,0.0,9990751.47,1,0.412,27,13,0.843
M,20070824,31.78,9990751.47,0.0,9990751.47,1,0.637,26,13,0.84
M,20070827,31.4,9990751.47,0.0,9990751.47,1,0.375,26,13,0.838
M,20070828,29.85,9990751.47,0.0,9990751.47,1,0.713,25,12,0.835
M,20070829,31.69,9990751.47,0.0,9990751.47,1,0.637,26,13,0.833
M,20070830,30.87,9990751.47,0.0,9990751.47,1,0.75,26,13,0.83
M,20070831,31.72,9990751.47,0.0,9990751.47,1,0.675,27,13,0.828
M,20070904,31.47,9990751.47,0.0,9990751.47,1,0.675,27,13,0.825
M,20070905,30.57,9990751.47,0.0,9990751.47,1,0.675,27,13,0.823
M,20070906,30.87,9990751.47,0.0,9990751.47,1,0.675,27,13,0.82
M,20070907,29.76,9990751.47,0.0,9990751.47,1,0.0,27,13,0.818
M,20070910,29.21,9990751.47,0.0,9990751.47,1,0.0,27,13,0.815
M,20070911,29.6,9990751.47,0.0,9990751.47,1,0.0,26,13,0.813
M,20070912,28.83,9990751.47,0.0,9990751.47,1,0.0,25,12,0.81
M,20070913,29.25,9990751.47,0.0,9990751.47,1,0.0,26,13,0.808
M,20070914,30.18,9990751.47,0.0,9990751.47,1,0.0,25,12,0.805
M,20070917,29.95,9990751.47,0.0,9990751.47,1,0.0,25,12,0.803
M,20070918,32.44,9990751.47,0.0,9990751.47,1,0.525,25,12,0.801
M,20070919,33.72,9990751.47,0.0,9990751.47,1,0.4,26,13,0.798
M,20070920,32.37,9990751.47,0.0,9990751.47,1,0.637,27,13,0.796
M,20070921,33.12,9990751.47,0.0,9990751.47,1,0.787,27,13,0.793
M,20070924,32.95,9990751.47,0.0,9990751.47,1,0.45,28,14,0.791
M,20070925,31.91,9990751.47,0.0,9990751.47,1,0.787,27,13,0.789
M,20070926,32.55,9990751.47,0.0,9990751.47,1,0.45,28,14,0.786
M,20070927,32.0,9990751.47,0.0,9990751.47,1,0.412,27,13,0.784
M,20070928,32.32,9990751.47,0.0,9990751.47,1,0.375,26,13,0.782
M,20071001,33.28,9990751.47,0.0,9990751.47,1,0.713,25,12,0.779
M,20071002,34.36,9990751.47,0.0,9990751.47,1,-0.068,26,13,0.777
M,20071003,34.57,9991234.05,79441.86,9911792.19,1,0.0,27,13,0.775
M,20071004,33.98,9988547.19,154744.92,9833802.27,1,0.825,28,14,0.772
M,20071005,35.1,9993647.67,159845.4,9833802.27,1,0.862,29,14,0.77
M,20071008,34.12,9989184.75,155382.48,9833802.27,1,0.6,30,15,0.768
M,20071009,34.02,9988729.35,154927.08,9833802.27,1,0.562,31,15,0.765
M,20071010,34.5,9990915.27,157113.0,9833802.27,1,0.525,32,16,0.763
M,20071011,33.84,9987909.63,154107.36,9833802.27,1,0.487,33,16,0.761
M,20071012,33.05,9984311.97,150509.7,9833802.27,1,0.825,34,17,0.758
M,20071015,32.35,9981124.17,147321.9,9833802.27,1,0.487,33,16,0.756
M,20071016,31.66,9977981.91,144179.64,9833802.27,1,0.712,34,17,0.754
M,20071017,31.76,9978437.31,144635.04,9833802.27,1,0.825,34,17,0.752
M,20071018,31.38,9976706.79,142904.52,9833802.27,1,0.487,33,16,0.749
M,20071019,30.24,9971515.23,137712.96,9833802.27,1,0.0,34,17,0.747
M,20071022,30.95,9969693.63,0.0,9969693.63,3,0.487,33,16,0.745
M,20071023,31.25,9969693.63,0.0,9969693.63,3,0.45,34,17,0.743
M,20071024,31.5,9969693.63,0.0,9969693.63,3,0.45,35,17,0.74
M,20071025,32.46,9969693.63,0.0,9969693.63,3,0.45,35,17,0.738
M,20071026,33.0,9969693.63,0.0,9969693.63,3,0.45,35,17,0.736
M,20071029,33.42,9969693.63,0.0,9969693.63,3,0.45,35,17,0.734
M,20071030,32.31,9969693.63,0.0,9969693.63,3,0.675,35,17,0.732
M,20071031,32.03,9969693.63,0.0,9969693.63,3,0.675,35,17,0.729
M,20071101,31.54,9969693.63,0.0,9969693.63,3,0.675,35,17,0.727
M,20071102,31.11,9969693.63,0.0,9969693.63,3,0.45,35,17,0.725
M,20071105,30.7,9969693.63,0.0,9969693.63,3,0.787,35,17,0.723
M,20071106,30.51,9969693.63,0.0,9969693.63,3,0.825,34,17,0.721
M,20071107,29.91,9969693.63,0.0,9969693.63,3,0.862,33,16,0.719
M,20071108,29.89,9969693.63,0.0,9969693.63,3,0.6,32,16,0.716
M,20071109,28.49,9969693.63,0.0,9969693.63,3,0.562,31,15,0.714
M,20071112,28.75,9969693.63,0.0,9969693.63,3,0.525,32,16,0.712
M,20071113,30.65,9969693.63,0.0,9969693.63,3,0.75,33,16,0.71
M,20071114,28.47,9969693.63,0.0,9969693.63,3,0.862,33,16,0.708
M,20071115,28.55,9969693.63,0.0,9969693.63,3,0.525,32,16,0.706
M,20071116,28.32,9969693.63,0.0,9969693.63,3,0.862,33,16,0.704
M,20071119,27.3,9969693.63,0.0,9969693.63,3,0.0,32,16,0.702
M,20071120,28.45,9969693.63,0.0,9969693.63,3,0.487,33,16,0.699
M,20071121,28.5,9969693.63,0.0,9969693.63,3,0.712,34,17,0.697
M,20071123,30.03,9969693.63,0.0,9969693.63,3,0.825,34,17,0.695
M,20071126,28.21,9969693.63,0.0,9969693.63,3,0.487,33,16,0.693
M,20071127,28.52,9969693.63,0.0,9969693.63,3,0.825,34,17,0.691
M,20071128,29.81,9969693.63,0.0,9969693.63,3,0.487,33,16,0.689
M,20071129,29.3,9969693.63,0.0,9969693.63,3,0.45,34,17,0.687
M,20071130,29.65,9969693.63,0.0,9969693.63,3,0.45,35,17,0.685
M,20071203,29.74,9969693.63,0.0,9969693.63,3,0.787,35,17,0.683
M,20071204,30.59,9969693.63,0.0,9969693.63,3,0.825,34,17,0.681
M,20071205,31.21,9969693.63,0.0,9969693.63,3,0.487,33,16,0.679
M,20071206,29.81,9969693.63,0.0,9969693.63,3,0.712,34,17,0.677
M,20071207,30.51,9969693.63,0.0,9969693.63,3,0.45,34,17,0.675
M,20071210,30.4,9969693.63,0.0,9969693.63,3,0.45,35,17,0.673
M,20071211,29.09,9969693.63,0.0,9969693.63,3,0.45,35,17,0.671
M,20071212,28.74,9969693.63,0.0,9969693.63,3,0.45,35,17,0.669
M,20071213,28.63,9969693.63,0.0,9969693.63,3,0.675,35,17,0.667
M,20071214,27.77,9969693.63,0.0,9969693.63,3,0.45,35,17,0.665
M,20071217,27.52,9969693.63,0.0,9969693.63,3,0.0,35,17,0.663
M,20071218,27.76,9969693.63,0.0,9969693.63,3,0.675,35,17,0.661
M,20071219,26.7,9969693.63,0.0,9969693.63,3,0.45,35,17,0.659
M,20071220,26.07,9969693.63,0.0,9969693.63,3,0.675,35,17,0.657
M,20071221,26.54,9969693.63,0.0,9969693.63,3,0.675,35,17,0.655
M,20071224,27.01,9969693.63,0.0,9969693.63,3,0.45,35,17,0.653
M,20071226,25.95,9969693.63,0.0,9969693.63,3,0.787,35,17,0.651
M,20071227,25.04,9969693.63,0.0,9969693.63,3,0.45,34,17,0.649
M,20071228,25.48,9969693.63,0.0,9969693.63,3,0.787,35,17,0.647
M,20071231,25.87,9969693.63,0.0,9969693.63,3,0.712,34,17,0.645
M,20080102,24.99,9969693.63,0.0,9969693.63,3,0.45,34,17,0.643
M,20080103,23.57,9969693.63,0.0,9969693.63,3,0.675,35,17,0.641
M,20080104,22.4,9969693.63,0.0,9969693.63,3,0.0,35,17,0.639
M,20080107,22.86,9969693.63,0.0,9969693.63,3,0.0,35,17,0.637
M,20080108,21.82,9969693.63,0.0,9969693.63,3,0.0,35,17,0.635
M,20080109,22.67,9969693.63,0.0,9969693.63,3,0.0,35,17,0.633
M,20080110,22.6,9969693.63,0.0,9969693.63,3,0.0,35,17,0.631
M,20080111,21.31,9969693.63,0.0,9969693.63,3,0.0,35,17,0.63
M,20080114,21.99,9969693.63,0.0,9969693.63,3,0.0,35,17,0.628
M,20080115,21.65,9969693.63,0.0,9969693.63,3,0.0,35,17,0.626
M,20080116,22.49,9969693.63,0.0,9969693.63,3,0.0,35,17,0.624
M,20080117,22.62,9969693.63,0.0,9969693.63,3,0.0,35,17,0.622
M,20080118,23.05,9969693.63,0.0,9969693.63,3,0.0,35,17,0.62
M,20080122,24.3,9969693.63,0.0,9969693.63,3,0.45,34,17,0.618
M,20080123,25.41,9969693.63,0.0,9969693.63,3,0.787,35,17,0.616
M,20080124,25.38,9969693.63,0.0,9969693.63,3,0.45,34,17,0.615
M,20080125,24.95,9969693.63,0.0,9969693.63,3,0.787,35,17,0.613
M,20080128,25.7,9969693.63,0.0,9969693.63,3,0.45,34,17,0.611
M,20080129,26.6,9969693.63,0.0,9969693.63,3,0.652,35,17,0.609
M,20080130,26.73,9969693.63,0.0,9969693.63,3,0.412,35,17,0.607
M,20080131,27.62,9969693.63,0.0,9969693.63,3,0.611,35,17,0.605
M,20080201,28.0,9969693.63,0.0,9969693.63,3,0.712,35,17,0.604
M,20080204,27.04,9969693.63,0.0,9969693.63,3,0.45,35,17,0.602
M,20080205,25.1,9969693.63,0.0,9969693.63,3,0.45,35,17,0.6
M,20080206,23.94,9969693.63,0.0,9969693.63,3,0.45,35,17,0.598
M,20080207,25.11,9969693.63,0.0,9969693.63,3,0.45,35,17,0.596
M,20080208,24.2,9969693.63,0.0,9969693.63,3,0.45,35,17,0.595
M,20080211,25.07,9969693.63,0.0,9969693.63,3,0.45,35,17,0.593
M,20080212,24.79,9969693.63,0.0,9969693.63,3,0.675,35,17,0.591
M,20080213,24.43,9969693.63,0.0,9969693.63,3,0.45,35,17,0.589
M,20080214,24.1,9969693.63,0.0,9969693.63,3,0.45,35,17,0.588
M,20080215,25.38,9969693.63,0.0,9969693.63,3,0.45,35,17,0.586
M,20080219,24.51,9969693.63,0.0,9969693.63,3,0.45,35,17,0.584
M,20080220,24.93,9969693.63,0.0,9969693.63,3,0.787,35,17,0.582
M,20080221,24.65,9969693.63,0.0,9969693.63,3,0.45,34,17,0.581
M,20080222,24.62,9969693.63,0.0,9969693.63,3,0.45,35,17,0.579
M,20080225,24.76,9969693.63,0.0,9969693.63,3,0.787,35,17,0.577
M,20080226,26.52,9969693.63,0.0,9969693.63,3,0.825,34,17,0.575
M,20080227,26.55,9969693.63,0.0,9969693.63,3,0.862,33,16,0.574
M,20080228,25.53,9969693.63,0.0,9969693.63,3,0.525,32,16,0.572
M,20080229,24.68,9969693.63,0.0,9969693.63,3,0.487,33,16,0.57
M,20080303,24.73,9969693.63,0.0,9969693.63,3,0.45,34,17,0.568
M,20080304,25.2,9969693.63,0.0,9969693.63,3,0.45,35,17,0.567
M,20080305,25.28,9969693.63,0.0,9969693.63,3,0.787,35,17,0.565
M,20080306,23.56,9969693.63,0.0,9969693.63,3,0.0,34,17,0.563
M,20080307,23.41,9969693.63,0.0,9969693.63,3,0.487,33,16,0.562
M,20080310,23.26,9969693.63,0.0,9969693.63,3,0.45,34,17,0.56
M,20080311,24.11,9969693.63,0.0,9969693.63,3,0.45,35,17,0.558
M,20080312,23.2,9969693.63,0.0,9969693.63,3,0.45,35,17,0.557
M,20080313,23.26,9969693.63,0.0,9969693.63,3,0.787,35,17,0.555
M,20080314,22.53,9969693.63,0.0,9969693.63,3,0.45,34,17,0.553
M,20080317,21.54,9969693.63,0.0,9969693.63,3,0.0,35,17,0.552
M,20080318,22.66,9969693.63,0.0,9969693.63,3,0.825,34,17,0.55
M,20080319,23.23,9969693.63,0.0,9969693.63,3,0.75,33,16,0.548
M,20080320,24.85,9969693.63,0.0,9969693.63,3,0.487,33,16,0.547
M,20080324,26.33,9969693.63,0.0,9969693.63,3,0.821,34,17,0.545
M,20080325,25.52,9969693.63,0.0,9969693.63,3,0.862,33,16,0.543
M,20080326,24.17,9969693.63,0.0,9969693.63,3,0.6,32,16,0.542
M,20080327,23.36,9969693.63,0.0,9969693.63,3,0.562,31,15,0.54
M,20080328,21.97,9969693.63,0.0,9969693.63,3,0.0,30,15,0.539
M,20080331,23.06,9969693.63,0.0,9969693.63,3,0.525,30,15,0.537
M,20080401,24.67,9969693.63,0.0,9969693.63,3,0.75,29,14,0.535
M,20080402,24.65,9969693.63,0.0,9969693.63,3,0.862,29,14,0.534
M,20080403,24.46,9969693.63,0.0,9969693.63,3,0.787,30,15,0.532
M,20080404,23.92,9969693.63,0.0,9969693.63,3,0.525,30,15,0.53
M,20080407,23.88,9969693.63,0.0,9969693.63,3,0.487,29,14,0.529
M,20080408,24.18,9969693.63,0.0,9969693.63,3,0.712,28,14,0.527
M,20080409,23.21,9969693.63,0.0,9969693.63,3,0.825,28,14,0.526
M,20080410,23.63,9969693.63,0.0,9969693.63,3,0.487,29,14,0.524
M,20080411,23.12,9969693.63,0.0,9969693.63,3,0.712,28,14,0.523
M,20080414,22.78,9969693.63,0.0,9969693.63,3,0.45,28,14,0.521
M,20080415,22.98,9969693.63,0.0,9969693.63,3,0.412,27,13,0.519
M,20080416,22.44,9969693.63,0.0,9969693.63,3,0.0,26,13,0.518
M,20080417,22.69,9969693.63,0.0,9969693.63,3,0.6,25,12,0.516
M,20080418,23.72,9969693.63,0.0,9969693.63,3,0.338,25,12,0.515
M,20080421,24.01,9969693.63,0.0,9969693.63,3,0.562,24,12,0.513
M,20080422,23.33,9969693.63,0.0,9969693.63,3,0.675,24,12,0.512
M,20080423,23.2,9969693.63,0.0,9969693.63,3,0.713,25,12,0.51
M,20080424,24.36,9969693.63,0.0,9969693.63,3,0.375,26,13,0.509
M,20080425,25.57,9969693.63,0.0,9969693.63,3,0.525,25,12,0.507
M,20080428,25.49,9969693.63,0.0,9969693.63,3,0.375,26,13,0.506
M,20080429,25.85,9969693.63,0.0,9969693.63,3,0.45,25,12,0.504
M,20080430,25.29,9969693.63,0.0,9969693.63,3,0.375,26,13,0.503
M,20080501,26.3,9969693.63,0.0,9969693.63,3,0.713,25,12,0.501
M,20080502,26.3,9969693.63,0.0,9969693.63,3,0.637,26,13,0.5
M,20080505,25.09,9969693.63,0.0,9969693.63,3,0.75,26,13,0.498
M,20080506,25.38,9969693.63,0.0,9969693.63,3,0.787,27,13,0.497
M,20080507,24.73,9969693.63,0.0,9969693.63,3,0.45,28,14,0.495
M,20080508,23.87,9969693.63,0.0,9969693.63,3,0.787,27,13,0.494
M,20080509,23.21,9969693.63,0.0,9969693.63,3,0.45,28,14,0.492
M,20080512,23.97,9969693.63,0.0,9969693.63,3,0.412,27,13,0.491
M,20080513,24.06,9969693.63,0.0,9969693.63,3,0.75,26,13,0.489
M,20080514,24.93,9969693.63,0.0,9969693.63,3,0.787,27,13,0.488
M,20080515,25.32,9969693.63,0.0,9969693.63,3,0.825,28,14,0.486
M,20080516,25.22,9969693.63,0.0,9969693.63,3,0.862,29,14,0.485
M,20080519,24.82,9969693.63,0.0,9969693.63,3,0.6,30,15,0.483
M,20080520,24.56,9969693.63,0.0,9969693.63,3,0.562,31,15,0.482
M,20080521,23.18,9969693.63,0.0,9969693.63,3,0.525,32,16,0.48
M,20080522,23.21,9969693.63,0.0,9969693.63,3,0.487,33,16,0.479
M,20080523,22.49,9969693.63,0.0,9969693.63,3,0.0,34,17,0.478
M,20080527,22.86,9969693.63,0.0,9969693.63,3,0.487,33,16,0.476
M,20080528,23.33,9969693.63,0.0,9969693.63,3,0.712,34,17,0.475
M,20080529,24.07,9969693.63,0.0,9969693.63,3,0.45,34,17,0.473
M,20080530,23.67,9969693.63,0.0,9969693.63,3,0.45,35,17,0.472
M,20080602,22.82,9969693.63,0.0,9969693.63,3,0.45,35,17,0.47
M,20080603,22.86,9969693.63,0.0,9969693.63,3,0.45,35,17,0.469
M,20080604,22.44,9969693.63,0.0,9969693.63,3,0.45,35,17,0.468
M,20080605,23.33,9969693.63,0.0,9969693.63,3,0.45,35,17,0.466
M,20080606,22.25,9969693.63,0.0,9969693.63,3,0.787,35,17,0.465
M,20080609,21.56,9969693.63,0.0,9969693.63,3,0.712,34,17,0.463
M,20080610,21.95,9969693.63,0.0,9969693.63,3,0.825,34,17,0.462
M,20080611,20.86,9969693.63,0.0,9969693.63,3,0.862,33,16,0.461
M,20080612,21.31,9969693.63,0.0,9969693.63,3,0.787,32,16,0.459
M,20080613,22.16,9969693.63,0.0,9969693.63,3,0.6,32,16,0.458
M,20080616,22.35,9969693.63,0.0,9969693.63,3,0.562,31,15,0.456
M,20080617,22.05,9969693.63,0.0,9969693.63,3,0.525,30,15,0.455
M,20080618,21.02,9969693.63,0.0,9969693.63,3,0.487,29,14,0.454
M,20080619,21.7,9969693.63,0.0,9969693.63,3,0.45,28,14,0.452
M,20080620,20.91,9969693.63,0.0,9969693.63,3,0.412,27,13,0.451
M,20080623,20.13,9969693.63,0.0,9969693.63,3,0.0,26,13,0.45
M,20080624,19.4,9969693.63,0.0,9969693.63,3,0.338,25,12,0.448
M,20080625,20.02,9969693.63,0.0,9969693.63,3,0.3,24,12,0.447
M,20080626,19.48,9969693.63,0.0,9969693.63,3,0.263,23,11,0.446
M,20080627,19.53,9969693.63,0.0,9969693.63,3,0.6,22,11,0.444
M,20080630,19.42,9969693.63,0.0,9969693.63,3,0.525,23,11,0.443
M,20080701,19.35,9969693.63,0.0,9969693.63,3,0.263,23,11,0.442
M,20080702,18.83,9969693.63,0.0,9969693.63,3,0.6,22,11,0.44
M,20080703,18.5,9969693.63,0.0,9969693.63,3,0.638,23,11,0.439
M,20080707,18.58,9969693.63,0.0,9969693.63,3,0.3,24,12,0.438
M,20080708,18.88,9969693.63,0.0,9969693.63,3,0.263,23,11,0.436
M,20080709,18.04,9969693.63,0.0,9969693.63,3,0.0,22,11,0.435
M,20080710,16.39,9969693.63,0.0,9969693.63,3,0.0,21,10,0.434
M,20080711,15.58,9969693.63,0.0,9969693.63,3,0.0,20,10,0.432
M,20080714,16.28,9969693.63,0.0,9969693.63,3,0.0,19,9,0.431
M,20080715,15.91,9969693.63,0.0,9969693.63,3,0.0,18,9,0.43
M,20080716,17.42,9969693.63,0.0,9969693.63,3,0.0,17,8,0.429
M,20080717,18.42,9969693.63,0.0,9969693.63,3,0.0,16,8,0.427
M,20080718,18.09,9969693.63,0.0,9969693.63,3,0.0,15,7,0.426
M,20080721,17.72,9969693.63,0.0,9969693.63,3,0.0,15,7,0.425
M,20080722,18.55,9969693.63,0.0,9969693.63,3,-0.0,15,7,0.423
M,20080723,19.15,9969693.63,0.0,9969693.63,3,0.338,15,7,0.422
M,20080724,18.31,9969693.63,0.0,9969693.63,3,0.0,16,8,0.421
M,20080725,18.07,9969693.63,0.0,9969693.63,3,0.0,17,8,0.42
M,20080728,17.61,9969693.63,0.0,9969693.63,3,0.0,18,9,0.418
M,20080729,18.58,9969693.63,0.0,9969693.63,3,0.412,17,8,0.417
M,20080730,18.94,9969693.63,0.0,9969693.63,3,0.075,18,9,0.416
M,20080731,18.81,9969693.63,0.0,9969693.63,3,0.038,17,8,0.415
M,20080801,18.17,9969693.63,0.0,9969693.63,3,0.0,16,8,0.413
M,20080804,17.89,9969693.63,0.0,9969693.63,3,0.0,17,8,0.412
M,20080805,19.49,9969693.63,0.0,9969693.63,3,0.075,18,9,0.411
M,20080806,19.68,9969693.63,0.0,9969693.63,3,0.3,17,8,0.41
M,20080807,18.92,9969693.63,0.0,9969693.63,3,0.412,17,8,0.408
M,20080808,20.73,9969693.63,0.0,9969693.63,3,-0.068,18,9,0.407
M,20080811,21.65,9973544.75,90626.9,9882917.85,3,0.0,19,9,0.406
M,20080812,20.27,9962413.67,163497.82,9798915.85,3,0.525,20,10,0.405
M,20080813,20.66,9965559.41,166643.56,9798915.85,3,0.562,21,10,0.404
M,20080814,21.22,9970076.37,171160.52,9798915.85,3,0.488,22,11,0.402
M,20080815,21.49,9972254.19,173338.34,9798915.85,3,0.6,22,11,0.401
M,20080818,21.82,9974915.97,176000.12,9798915.85,3,0.263,23,11,0.4
M,20080819,20.32,9962816.97,163901.12,9798915.85,3,0.6,22,11,0.399
M,20080820,19.67,9957574.07,158658.22,9798915.85,3,0.638,23,11,0.398
M,20080821,19.44,9955718.89,156803.04,9798915.85,3,0.3,24,12,0.396
M,20080822,20.13,9961284.43,162368.58,9798915.85,3,0.638,23,11,0.395
M,20080825,19.57,9956767.47,157851.62,9798915.85,3,0.675,24,12,0.394
M,20080826,19.5,9956202.85,157287.0,9798915.85,3,0.713,25,12,0.393
M,20080827,19.69,9957735.39,158819.54,9798915.85,3,0.75,26,13,0.392
M,20080828,20.65,9965478.75,166562.9,9798915.85,3,0.787,27,13,0.39
M,20080829,20.82,9966849.97,167934.12,9798915.85,3,0.825,28,14,0.389
M,20080902,21.62,9973302.77,174386.92,9798915.85,3,0.862,29,14,0.388
M,20080903,21.89,9975480.59,176564.74,9798915.85,3,0.6,30,15,0.387
M,20080904,20.69,9965801.39,166885.54,9798915.85,3,0.562,31,15,0.386
M,20080905,21.08,9968947.13,170031.28,9798915.85,3,0.525,32,16,0.385
M,20080908,22.38,9979432.93,180517.08,9798915.85,3,0.459,33,16,0.383
M,20080909,21.8,9974754.65,175838.8,9798915.85,3,0.45,34,17,0.382
M,20080910,21.88,9975399.93,176484.08,9798915.85,3,0.45,35,17,0.381
M,20080911,21.85,9975157.95,176242.1,9798915.85,3,0.787,35,17,0.38
M,20080912,20.81,9966769.31,167853.46,9798915.85,3,0.712,34,17,0.379
M,20080915,19.46,9955880.21,156964.36,9798915.85,3,0.45,34,17,0.378
M,20080916,20.17,9961607.07,162691.22,9798915.85,3,0.45,35,17,0.377
M,20080917,18.55,9948540.15,149624.3,9798915.85,3,0.0,35,17,0.376
M,20080918,19.91,9950879.29,0.0,9950879.29,5,0.45,35,17,0.374
M,20080919,19.96,9950879.29,0.0,9950879.29,5,0.45,35,17,0.373
M,20080922,18.42,9950879.29,0.0,9950879.29,5,0.45,35,17,0.372
M,20080923,17.75,9950879.29,0.0,9950879.29,5,0.787,35,17,0.371
M,20080924,17.77,9950879.29,0.0,9950879.29,5,0.825,34,17,0.37
M,20080925,18.9,9950879.29,0.0,9950879.29,5,0.862,33,16,0.369
M,20080926,19.4,9950879.29,0.0,9950879.29,5,0.787,32,16,0.368
M,20080929,17.28,9950879.29,0.0,9950879.29,5,0.6,32,16,0.367
M,20080930,17.98,9950879.29,0.0,9950879.29,5,0.562,31,15,0.365
M,20081001,17.31,9950879.29,0.0,9950879.29,5,0.787,32,16,0.364
M,20081002,16.21,9950879.29,0.0,9950879.29,5,0.787,32,16,0.363
M,20081003,15.19,9950879.29,0.0,9950879.29,5,0.525,32,16,0.362
M,20081006,14.98,9950879.29,0.0,9950879.29,5,0.75,33,16,0.361
M,20081007,13.7,9950879.29,0.0,9950879.29,5,0.862,33,16,0.36
M,20081008,13.36,9950879.29,0.0,9950879.29,5,0.6,32,16,0.359
M,20081009,11.46,9950879.29,0.0,9950879.29,5,0.0,31,15,0.358
M,20081010,9.92,9950879.29,0.0,9950879.29,5,0.525,30,15,0.357
